#time    cd4 cd4i cd8    growth_f inflammatory_f virus_f
340.900000    183.000000 7.000000 1.000000    49411145.705661 33773.540062 0.100000
341.900000    183.000000 7.000000 1.000000    49411145.705663 33869.592182 0.100000
342.900000    183.000000 7.000000 1.000000    49411145.705665 33821.444646 0.100000
343.900000    184.000000 7.000000 1.000000    49411145.705667 33815.321153 0.100000
344.900000    184.000000 7.000000 1.000000    49411145.705669 33878.074193 0.100000
345.900000    184.000000 7.000000 1.000000    49411145.705671 33853.794758 0.100000
346.900000    184.000000 7.000000 1.000000    49411145.705672 33807.110182 0.100000
347.900000    184.000000 7.000000 1.000000    49411145.705674 33697.365689 0.100000
348.900000    184.000000 7.000000 1.000000    49411145.705675 33501.454386 0.100000
349.900000    184.000000 7.000000 1.000000    49411145.705677 33385.995141 0.100000
350.900000    185.000000 7.000000 1.000000    49411145.705678 33328.566027 0.100000
351.900000    185.000000 7.000000 1.000000    49411145.705679 33247.644219 0.100000
352.900000    186.000000 7.000000 1.000000    49411145.705680 33236.326473 0.100000
353.900000    186.000000 7.000000 1.000000    49411145.705681 33373.870433 0.100000
354.900000    187.000000 7.000000 1.000000    49411145.705682 33445.532445 0.100000
355.900000    188.000000 7.000000 1.000000    49411145.705683 33491.654975 0.100000
356.900000    188.000000 7.000000 1.000000    49411145.705683 33428.502710 0.100000
357.900000    189.000000 7.000000 1.000000    49411145.705684 33451.062578 0.100000
358.900000    189.000000 7.000000 1.000000    49411145.705685 33476.414770 0.100000
359.900000    189.000000 7.000000 1.000000    49411145.705685 33445.627433 0.100000
360.900000    189.000000 7.000000 1.000000    49411145.705686 33587.467935 0.100000
361.900000    189.000000 7.000000 1.000000    49411145.705686 33593.391109 0.100000
362.900000    189.000000 7.000000 1.000000    49411145.705687 33599.309794 0.100000
